package	version	interface	namespace	command	target	source_url
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack orchestration build info	heatclient.osc.v1.build_info:BuildInfo	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L40
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack orchestration resource type list	heatclient.osc.v1.resource_type:ResourceTypeList	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L45
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack orchestration resource type show	heatclient.osc.v1.resource_type:ResourceTypeShow	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L46
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack orchestration service list	heatclient.osc.v1.service:ListService	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L41
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack orchestration template function list	heatclient.osc.v1.template:FunctionList	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L42
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack orchestration template validate	heatclient.osc.v1.template:Validate	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L43
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack orchestration template version list	heatclient.osc.v1.template:VersionList	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L44
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack software config create	heatclient.osc.v1.software_config:CreateConfig	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L47
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack software config delete	heatclient.osc.v1.software_config:DeleteConfig	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L48
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack software config list	heatclient.osc.v1.software_config:ListConfig	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L49
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack software config show	heatclient.osc.v1.software_config:ShowConfig	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L50
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack software deployment create	heatclient.osc.v1.software_deployment:CreateDeployment	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L51
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack software deployment delete	heatclient.osc.v1.software_deployment:DeleteDeployment	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L52
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack software deployment list	heatclient.osc.v1.software_deployment:ListDeployment	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L53
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack software deployment metadata show	heatclient.osc.v1.software_deployment:ShowMetadataDeployment	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L54
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack software deployment output show	heatclient.osc.v1.software_deployment:ShowOutputDeployment	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L55
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack software deployment show	heatclient.osc.v1.software_deployment:ShowDeployment	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L56
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack abandon	heatclient.osc.v1.stack:AbandonStack	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L57
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack adopt	heatclient.osc.v1.stack:AdoptStack	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L59
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack cancel	heatclient.osc.v1.stack:CancelStack	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L60
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack check	heatclient.osc.v1.stack:CheckStack	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L61
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack create	heatclient.osc.v1.stack:CreateStack	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L62
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack delete	heatclient.osc.v1.stack:DeleteStack	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L63
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack environment show	heatclient.osc.v1.stack:EnvironmentShowStack	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L66
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack event list	heatclient.osc.v1.event:ListEvent	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L64
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack event show	heatclient.osc.v1.event:ShowEvent	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L65
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack export	heatclient.osc.v1.stack:ExportStack	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L58
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack failures list	heatclient.osc.v1.stack_failures:ListStackFailures	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L67
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack file list	heatclient.osc.v1.stack:ListFileStack	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L68
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack hook clear	heatclient.osc.v1.stack:StackHookClear	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L69
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack hook poll	heatclient.osc.v1.stack:StackHookPoll	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L70
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack list	heatclient.osc.v1.stack:ListStack	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L71
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack output list	heatclient.osc.v1.stack:OutputListStack	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L72
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack output show	heatclient.osc.v1.stack:OutputShowStack	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L73
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack resource list	heatclient.osc.v1.resource:ResourceList	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L74
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack resource mark unhealthy	heatclient.osc.v1.resource:ResourceMarkUnhealthy	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L75
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack resource metadata	heatclient.osc.v1.resource:ResourceMetadata	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L76
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack resource show	heatclient.osc.v1.resource:ResourceShow	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L77
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack resource signal	heatclient.osc.v1.resource:ResourceSignal	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L78
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack resume	heatclient.osc.v1.stack:ResumeStack	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L79
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack show	heatclient.osc.v1.stack:ShowStack	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L80
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack snapshot create	heatclient.osc.v1.snapshot:CreateSnapshot	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L81
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack snapshot delete	heatclient.osc.v1.snapshot:DeleteSnapshot	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L82
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack snapshot list	heatclient.osc.v1.snapshot:ListSnapshot	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L83
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack snapshot restore	heatclient.osc.v1.snapshot:RestoreSnapshot	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L84
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack snapshot show	heatclient.osc.v1.snapshot:ShowSnapshot	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L85
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack suspend	heatclient.osc.v1.stack:SuspendStack	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L86
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack template show	heatclient.osc.v1.stack:TemplateShowStack	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L87
python-heatclient	4.1.0	OSC	openstack.orchestration.v1	openstack stack update	heatclient.osc.v1.stack:UpdateStack	https://opendev.org/openstack/python-heatclient/src/tag/4.1.0/setup.cfg#L88
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal allocation create	ironicclient.osc.v1.baremetal_allocation:CreateBaremetalAllocation	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal allocation delete	ironicclient.osc.v1.baremetal_allocation:DeleteBaremetalAllocation	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal allocation list	ironicclient.osc.v1.baremetal_allocation:ListBaremetalAllocation	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal allocation set	ironicclient.osc.v1.baremetal_allocation:SetBaremetalAllocation	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal allocation show	ironicclient.osc.v1.baremetal_allocation:ShowBaremetalAllocation	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal allocation unset	ironicclient.osc.v1.baremetal_allocation:UnsetBaremetalAllocation	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal chassis create	ironicclient.osc.v1.baremetal_chassis:CreateBaremetalChassis	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal chassis delete	ironicclient.osc.v1.baremetal_chassis:DeleteBaremetalChassis	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal chassis list	ironicclient.osc.v1.baremetal_chassis:ListBaremetalChassis	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal chassis set	ironicclient.osc.v1.baremetal_chassis:SetBaremetalChassis	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal chassis show	ironicclient.osc.v1.baremetal_chassis:ShowBaremetalChassis	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal chassis unset	ironicclient.osc.v1.baremetal_chassis:UnsetBaremetalChassis	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal conductor list	ironicclient.osc.v1.baremetal_conductor:ListBaremetalConductor	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal conductor show	ironicclient.osc.v1.baremetal_conductor:ShowBaremetalConductor	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal create	ironicclient.osc.v1.baremetal_create:CreateBaremetal	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal deploy template create	ironicclient.osc.v1.baremetal_deploy_template:CreateBaremetalDeployTemplate	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal deploy template delete	ironicclient.osc.v1.baremetal_deploy_template:DeleteBaremetalDeployTemplate	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal deploy template list	ironicclient.osc.v1.baremetal_deploy_template:ListBaremetalDeployTemplate	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal deploy template set	ironicclient.osc.v1.baremetal_deploy_template:SetBaremetalDeployTemplate	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal deploy template show	ironicclient.osc.v1.baremetal_deploy_template:ShowBaremetalDeployTemplate	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal deploy template unset	ironicclient.osc.v1.baremetal_deploy_template:UnsetBaremetalDeployTemplate	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal driver list	ironicclient.osc.v1.baremetal_driver:ListBaremetalDriver	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal driver passthru call	ironicclient.osc.v1.baremetal_driver:PassthruCallBaremetalDriver	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal driver passthru list	ironicclient.osc.v1.baremetal_driver:PassthruListBaremetalDriver	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal driver property list	ironicclient.osc.v1.baremetal_driver:ListBaremetalDriverProperty	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal driver raid property list	ironicclient.osc.v1.baremetal_driver:ListBaremetalDriverRaidProperty	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal driver show	ironicclient.osc.v1.baremetal_driver:ShowBaremetalDriver	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
python-ironicclient	5.10.0	OSC	openstack.baremetal.v1	openstack baremetal node abort	ironicclient.osc.v1.baremetal_node:AbortBaremetalNode	https://github.com/openstack/python-ironicclient/blob/5.10.0/setup.cfg
