command	namespace	access	ui_status	capability	limitation	cli_source	ui_source
openstack address group create	openstack.network.v2	mutation	no	Создать — Создать: группа IP/CIDR.	Нет панели address groups и выбора remote_address_group в Security Groups.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/address_group.py#L60	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack address group delete	openstack.network.v2	mutation	no	Удалить — Удалить: группа IP/CIDR.	Нет панели address groups и выбора remote_address_group в Security Groups.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/address_group.py#L107	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack address group list	openstack.network.v2	read	no	Перечислить — Перечислить: группа IP/CIDR.	Нет панели address groups и выбора remote_address_group в Security Groups.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/address_group.py#L147	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack address group set	openstack.network.v2	mutation	no	Изменить — Изменить: группа IP/CIDR.	Нет панели address groups и выбора remote_address_group в Security Groups.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/address_group.py#L212	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack address group show	openstack.network.v2	read	no	Показать — Показать: группа IP/CIDR.	Нет панели address groups и выбора remote_address_group в Security Groups.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/address_group.py#L264	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack address group unset	openstack.network.v2	mutation	no	Снять параметры — Снять параметры: группа IP/CIDR.	Нет панели address groups и выбора remote_address_group в Security Groups.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/address_group.py#L288	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack address scope create	openstack.network.v2	mutation	no	Создать — Создать: область адресного пространства.	Нет отдельного интерфейса address scopes; это не подсеть и не security group.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/address_scope.py#L61	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack address scope delete	openstack.network.v2	mutation	no	Удалить — Удалить: область адресного пространства.	Нет отдельного интерфейса address scopes; это не подсеть и не security group.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/address_scope.py#L112	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack address scope list	openstack.network.v2	read	no	Перечислить — Перечислить: область адресного пространства.	Нет отдельного интерфейса address scopes; это не подсеть и не security group.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/address_scope.py#L154	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack address scope set	openstack.network.v2	mutation	no	Изменить — Изменить: область адресного пространства.	Нет отдельного интерфейса address scopes; это не подсеть и не security group.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/address_scope.py#L248	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack address scope show	openstack.network.v2	read	no	Показать — Показать: область адресного пространства.	Нет отдельного интерфейса address scopes; это не подсеть и не security group.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/address_scope.py#L293	https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/enabled; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/dashboards; https://github.com/openstack/horizon/tree/25.3.0/openstack_dashboard/static/app/core
openstack floating ip create	openstack.network.v2	mutation	yes	Создать — Выделить floating IP из внешней сети; Allocate IP в Project/Admin.	UI предлагает адрес, описание и DNS-поля; произвольные CLI-параметры, включая QoS policy, представлены не все.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/floating_ip.py#L95	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/floating_ips/forms.py#L30
openstack floating ip delete	openstack.network.v2	mutation	yes	Удалить — Release IPs / таблица Floating IPs.	Операции и список доступны в Project/Admin; действуют права и квота.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/floating_ip.py#L209	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/floating_ips/tables.py#L324
openstack floating ip list	openstack.network.v2	read	yes	Перечислить — Release IPs / таблица Floating IPs.	Операции и список доступны в Project/Admin; действуют права и квота.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/floating_ip.py#L236	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/floating_ips/tables.py#L324
openstack floating ip set	openstack.network.v2	mutation	partial	Изменить — Associate IP связывает адрес с портом/фиксированным IP.	Нет общего Edit Floating IP для изменения description, QoS policy и тегов.	https://github.com/openstack/python-openstackclient/blob/7.4.0/openstackclient/network/v2/floating_ip.py#L441	https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/floating_ips/workflows.py#L153; https://github.com/openstack/horizon/blob/25.3.0/openstack_dashboard/dashboards/project/floating_ips/tables.py#L324
