project	tag	cli	entry_point_group	command	target	source	source_url
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workbook list	mistralclient.commands.v2.workbooks:List	setup.cfg:36	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L36
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workbook show	mistralclient.commands.v2.workbooks:Get	setup.cfg:37	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L37
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workbook create	mistralclient.commands.v2.workbooks:Create	setup.cfg:38	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L38
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workbook delete	mistralclient.commands.v2.workbooks:Delete	setup.cfg:39	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L39
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workbook update	mistralclient.commands.v2.workbooks:Update	setup.cfg:40	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L40
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workbook definition show	mistralclient.commands.v2.workbooks:GetDefinition	setup.cfg:41	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L41
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workbook validate	mistralclient.commands.v2.workbooks:Validate	setup.cfg:42	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L42
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workflow list	mistralclient.commands.v2.workflows:List	setup.cfg:44	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L44
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workflow show	mistralclient.commands.v2.workflows:Get	setup.cfg:45	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L45
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workflow create	mistralclient.commands.v2.workflows:Create	setup.cfg:46	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L46
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workflow delete	mistralclient.commands.v2.workflows:Delete	setup.cfg:47	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L47
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workflow update	mistralclient.commands.v2.workflows:Update	setup.cfg:48	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L48
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workflow definition show	mistralclient.commands.v2.workflows:GetDefinition	setup.cfg:49	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L49
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workflow validate	mistralclient.commands.v2.workflows:Validate	setup.cfg:50	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L50
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workflow env create	mistralclient.commands.v2.environments:Create	setup.cfg:52	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L52
python-mistralclient	5.4.0	OSC	openstack.workflow_engine.v2	openstack workflow env delete	mistralclient.commands.v2.environments:Delete	setup.cfg:53	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/setup.cfg#L53
