project	tag	command	target	osc_equivalent	source	source_url
python-mistralclient	5.4.0	mistral bash-completion	BashCompletionCommand		mistralclient/shell.py:689	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L689
python-mistralclient	5.4.0	mistral workbook-list	mistralclient.commands.v2.workbooks.List	openstack workbook list	mistralclient/shell.py:690	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L690
python-mistralclient	5.4.0	mistral workbook-get	mistralclient.commands.v2.workbooks.Get	openstack workbook show	mistralclient/shell.py:691	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L691
python-mistralclient	5.4.0	mistral workbook-create	mistralclient.commands.v2.workbooks.Create	openstack workbook create	mistralclient/shell.py:692	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L692
python-mistralclient	5.4.0	mistral workbook-delete	mistralclient.commands.v2.workbooks.Delete	openstack workbook delete	mistralclient/shell.py:693	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L693
python-mistralclient	5.4.0	mistral workbook-update	mistralclient.commands.v2.workbooks.Update	openstack workbook update	mistralclient/shell.py:694	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L694
python-mistralclient	5.4.0	mistral workbook-get-definition	mistralclient.commands.v2.workbooks.GetDefinition	openstack workbook definition show	mistralclient/shell.py:695	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L695
python-mistralclient	5.4.0	mistral workbook-validate	mistralclient.commands.v2.workbooks.Validate	openstack workbook validate	mistralclient/shell.py:697	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L697
python-mistralclient	5.4.0	mistral workflow-list	mistralclient.commands.v2.workflows.List	openstack workflow list	mistralclient/shell.py:698	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L698
python-mistralclient	5.4.0	mistral workflow-get	mistralclient.commands.v2.workflows.Get	openstack workflow show	mistralclient/shell.py:699	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L699
python-mistralclient	5.4.0	mistral workflow-create	mistralclient.commands.v2.workflows.Create	openstack workflow create	mistralclient/shell.py:700	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L700
python-mistralclient	5.4.0	mistral workflow-delete	mistralclient.commands.v2.workflows.Delete	openstack workflow delete	mistralclient/shell.py:701	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L701
python-mistralclient	5.4.0	mistral workflow-update	mistralclient.commands.v2.workflows.Update	openstack workflow update	mistralclient/shell.py:702	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L702
python-mistralclient	5.4.0	mistral workflow-get-definition	mistralclient.commands.v2.workflows.GetDefinition	openstack workflow definition show	mistralclient/shell.py:703	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L703
python-mistralclient	5.4.0	mistral workflow-validate	mistralclient.commands.v2.workflows.Validate	openstack workflow validate	mistralclient/shell.py:705	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L705
python-mistralclient	5.4.0	mistral environment-create	mistralclient.commands.v2.environments.Create	openstack workflow env create	mistralclient/shell.py:706	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L706
python-mistralclient	5.4.0	mistral environment-delete	mistralclient.commands.v2.environments.Delete	openstack workflow env delete	mistralclient/shell.py:708	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L708
python-mistralclient	5.4.0	mistral environment-update	mistralclient.commands.v2.environments.Update	openstack workflow env update	mistralclient/shell.py:710	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L710
python-mistralclient	5.4.0	mistral environment-list	mistralclient.commands.v2.environments.List	openstack workflow env list	mistralclient/shell.py:712	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L712
python-mistralclient	5.4.0	mistral environment-get	mistralclient.commands.v2.environments.Get	openstack workflow env show	mistralclient/shell.py:713	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L713
python-mistralclient	5.4.0	mistral run-action	mistralclient.commands.v2.action_executions.Create	openstack action execution run	mistralclient/shell.py:714	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L714
python-mistralclient	5.4.0	mistral action-execution-list	mistralclient.commands.v2.action_executions.List	openstack action execution list	mistralclient/shell.py:715	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L715
python-mistralclient	5.4.0	mistral action-execution-get	mistralclient.commands.v2.action_executions.Get	openstack action execution show	mistralclient/shell.py:717	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L717
python-mistralclient	5.4.0	mistral action-execution-get-input	mistralclient.commands.v2.action_executions.GetInput	openstack action execution input show	mistralclient/shell.py:719	https://opendev.org/openstack/python-mistralclient/src/tag/5.4.0/mistralclient/shell.py#L719
